secteur,Intervalle15Minutes,energie_sum_secteur,nb_installations
Residentiel,2022-01-01 00:00:00+00:00,2263285.523300003,3761057
Residentiel,2022-01-01 00:15:00+00:00,2249820.545600001,3760973
Residentiel,2022-01-01 00:30:00+00:00,2242820.107400001,3760980
Residentiel,2022-01-01 00:45:00+00:00,2230163.348700002,3760820
Residentiel,2022-01-01 01:00:00+00:00,2212490.7093000016,3760614
Residentiel,2022-01-01 01:15:00+00:00,2186657.6520000035,3742755
Residentiel,2022-01-01 01:30:00+00:00,2177982.9689,3760547
Residentiel,2022-01-01 01:45:00+00:00,2163235.7926,3760589
Residentiel,2022-01-01 02:00:00+00:00,2153910.6313999984,3760630
Residentiel,2022-01-01 02:15:00+00:00,2147651.9412000068,3760734
Residentiel,2022-01-01 02:30:00+00:00,2140937.701400005,3760800
Residentiel,2022-01-01 02:45:00+00:00,2138311.650499995,3760787
Residentiel,2022-01-01 03:00:00+00:00,2137529.0176,3760833
Residentiel,2022-01-01 03:15:00+00:00,2139192.8833999983,3760948
Residentiel,2022-01-01 03:30:00+00:00,2138169.203999998,3760892
Residentiel,2022-01-01 03:45:00+00:00,2139140.6348999976,3760965
Residentiel,2022-01-01 04:00:00+00:00,2144444.3287,3760964
Residentiel,2022-01-01 04:15:00+00:00,2150879.7365000034,3760777
Residentiel,2022-01-01 04:30:00+00:00,2158266.873700002,3760849
Residentiel,2022-01-01 04:45:00+00:00,2170315.2808999983,3760839
Residentiel,2022-01-01 05:00:00+00:00,2189821.795600006,3760724
Residentiel,2022-01-01 05:15:00+00:00,2204837.0032999986,3760831
Residentiel,2022-01-01 05:30:00+00:00,2222858.200600002,3760744
Residentiel,2022-01-01 05:45:00+00:00,2242954.698700001,3760685
Residentiel,2022-01-01 06:00:00+00:00,2281950.592899996,3760593
Residentiel,2022-01-01 06:15:00+00:00,2298631.665099997,3760695
Residentiel,2022-01-01 06:30:00+00:00,2308522.627499999,3760683
Residentiel,2022-01-01 06:45:00+00:00,2323509.595000002,3760638
Residentiel,2022-01-01 07:00:00+00:00,2356795.1717000045,3760081
Residentiel,2022-01-01 07:15:00+00:00,2380513.7569999998,3760393
Residentiel,2022-01-01 07:30:00+00:00,2406541.1476000017,3760374
Residentiel,2022-01-01 07:45:00+00:00,2428902.5152999987,3760310
Residentiel,2022-01-01 08:00:00+00:00,2453098.5058000004,3760310
Residentiel,2022-01-01 08:15:00+00:00,2474299.609800003,3760359
Residentiel,2022-01-01 08:30:00+00:00,2488326.860299998,3760390
Residentiel,2022-01-01 08:45:00+00:00,2499854.287100002,3760291
Residentiel,2022-01-01 09:00:00+00:00,2518997.344699997,3759996
Residentiel,2022-01-01 09:15:00+00:00,2544780.7299000067,3759611
Residentiel,2022-01-01 09:30:00+00:00,2565102.601400001,3759907
Residentiel,2022-01-01 09:45:00+00:00,2584412.733199997,3760517
Residentiel,2022-01-01 10:00:00+00:00,2600325.1309000035,3756768
Residentiel,2022-01-01 10:15:00+00:00,2619335.337400004,3752659
Residentiel,2022-01-01 10:30:00+00:00,2648691.4765999974,3758702
Residentiel,2022-01-01 10:45:00+00:00,2651862.616500002,3759007
Residentiel,2022-01-01 11:00:00+00:00,2664843.4095000043,3758079
Residentiel,2022-01-01 11:15:00+00:00,2679746.9393999954,3758340
Residentiel,2022-01-01 11:30:00+00:00,2695873.480099999,3760354
Residentiel,2022-01-01 11:45:00+00:00,2703719.3716,3760357
Residentiel,2022-01-01 12:00:00+00:00,2716042.9955000044,3760229
Residentiel,2022-01-01 12:15:00+00:00,2706457.359899996,3760207
Residentiel,2022-01-01 12:30:00+00:00,2696807.3322,3758328
Residentiel,2022-01-01 12:45:00+00:00,2684106.830800001,3758418
Residentiel,2022-01-01 13:00:00+00:00,2670292.258599996,3758219
Residentiel,2022-01-01 13:15:00+00:00,2658258.4911,3758054
Residentiel,2022-01-01 13:30:00+00:00,2645904.773999996,3758032
Residentiel,2022-01-01 13:45:00+00:00,2634594.1160999984,3758010
Residentiel,2022-01-01 14:00:00+00:00,2616879.0075000017,3757955
Residentiel,2022-01-01 14:15:00+00:00,2606096.1442000004,3759525
Residentiel,2022-01-01 14:30:00+00:00,2600958.160900004,3759354
Residentiel,2022-01-01 14:45:00+00:00,2601199.608599996,3759158
Residentiel,2022-01-01 15:00:00+00:00,2611119.135100002,3758977
Residentiel,2022-01-01 15:15:00+00:00,2618599.169900001,3758744
Residentiel,2022-01-01 15:30:00+00:00,2641554.728200004,3758197
Residentiel,2022-01-01 15:45:00+00:00,2653725.6544999955,3755081
Residentiel,2022-01-01 16:00:00+00:00,2695970.0531999925,3756340
Residentiel,2022-01-01 16:15:00+00:00,2733383.3521999978,3756576
Residentiel,2022-01-01 16:30:00+00:00,2777499.6179000074,3756373
Residentiel,2022-01-01 16:45:00+00:00,2812548.098900001,3756196
