secteur,Intervalle15Minutes,energie_sum_secteur,nb_installations
Residentiel,2020-01-01 00:00:00+00:00,2219728.3608000013,3629841
Residentiel,2020-01-01 00:15:00+00:00,2209710.4007,3629211
Residentiel,2020-01-01 00:30:00+00:00,2206143.2106000027,3630322
Residentiel,2020-01-01 00:45:00+00:00,2205686.842799999,3630485
Residentiel,2020-01-01 01:00:00+00:00,2199979.436099995,3630596
Residentiel,2020-01-01 01:15:00+00:00,2184957.5709999995,3614610
Residentiel,2020-01-01 01:30:00+00:00,2188578.588899999,3629493
Residentiel,2020-01-01 01:45:00+00:00,2179205.5607999973,3630769
Residentiel,2020-01-01 02:00:00+00:00,2170041.6043999987,3631533
Residentiel,2020-01-01 02:15:00+00:00,2163134.643999997,3631691
Residentiel,2020-01-01 02:30:00+00:00,2156560.6929000025,3631838
Residentiel,2020-01-01 02:45:00+00:00,2150193.818299996,3632034
Residentiel,2020-01-01 03:00:00+00:00,2144846.038699998,3632078
Residentiel,2020-01-01 03:15:00+00:00,2142227.550699995,3631391
Residentiel,2020-01-01 03:30:00+00:00,2140745.5180000006,3631774
Residentiel,2020-01-01 03:45:00+00:00,2141478.1966999997,3631208
Residentiel,2020-01-01 04:00:00+00:00,2147498.906199997,3631667
Residentiel,2020-01-01 04:15:00+00:00,2152841.1705000014,3631638
Residentiel,2020-01-01 04:30:00+00:00,2162022.596900003,3631459
Residentiel,2020-01-01 04:45:00+00:00,2171481.826599997,3631347
Residentiel,2020-01-01 05:00:00+00:00,2196803.740200004,3631294
Residentiel,2020-01-01 05:15:00+00:00,2210255.1425,3631533
Residentiel,2020-01-01 05:30:00+00:00,2231854.9129000027,3631429
Residentiel,2020-01-01 05:45:00+00:00,2248197.0137999984,3631345
Residentiel,2020-01-01 06:00:00+00:00,2293781.1243999978,3631196
Residentiel,2020-01-01 06:15:00+00:00,2297710.882899999,3631256
Residentiel,2020-01-01 06:30:00+00:00,2305346.029299999,3630997
Residentiel,2020-01-01 06:45:00+00:00,2313063.8869999982,3631166
Residentiel,2020-01-01 07:00:00+00:00,2330321.060300003,3631070
Residentiel,2020-01-01 07:15:00+00:00,2347498.662499999,3631067
Residentiel,2020-01-01 07:30:00+00:00,2360797.109199996,3630144
Residentiel,2020-01-01 07:45:00+00:00,2379727.021399999,3630336
Residentiel,2020-01-01 08:00:00+00:00,2393588.751000002,3628765
Residentiel,2020-01-01 08:15:00+00:00,2410861.388,3629030
Residentiel,2020-01-01 08:30:00+00:00,2421669.093100001,3628373
Residentiel,2020-01-01 08:45:00+00:00,2430934.547199996,3627189
Residentiel,2020-01-01 09:00:00+00:00,2439127.286100001,3626562
Residentiel,2020-01-01 09:15:00+00:00,2445295.3335000016,3629508
Residentiel,2020-01-01 09:30:00+00:00,2443941.486100004,3629368
Residentiel,2020-01-01 09:45:00+00:00,2442625.495900001,3628359
Residentiel,2020-01-01 10:00:00+00:00,2445964.2231999985,3629161
