secteur,Intervalle15Minutes,energie_sum_secteur,nb_installations
Residentiel,2023-01-01 00:00:00+00:00,1818550.2943,3825296
Residentiel,2023-01-01 00:15:00+00:00,1814834.3362000005,3825500
Residentiel,2023-01-01 00:30:00+00:00,1818030.4271000011,3825581
Residentiel,2023-01-01 00:45:00+00:00,1812235.7668,3825607
Residentiel,2023-01-01 01:00:00+00:00,1806610.3836000017,3823949
Residentiel,2023-01-01 01:15:00+00:00,1791372.0511999987,3807821
Residentiel,2023-01-01 01:30:00+00:00,1790050.0687000004,3824210
Residentiel,2023-01-01 01:45:00+00:00,1778601.8983999982,3823850
Residentiel,2023-01-01 02:00:00+00:00,1767702.516000003,3824315
Residentiel,2023-01-01 02:15:00+00:00,1761437.4262000013,3824376
Residentiel,2023-01-01 02:30:00+00:00,1753473.2251999949,3824423
Residentiel,2023-01-01 02:45:00+00:00,1747019.3969000005,3824431
Residentiel,2023-01-01 03:00:00+00:00,1742151.3552999997,3824289
Residentiel,2023-01-01 03:15:00+00:00,1732516.028100002,3819722
Residentiel,2023-01-01 03:30:00+00:00,1730623.5320999983,3821859
Residentiel,2023-01-01 03:45:00+00:00,1732615.0171999985,3823612
Residentiel,2023-01-01 04:00:00+00:00,1734719.913499999,3823555
Residentiel,2023-01-01 04:15:00+00:00,1741209.339499998,3823572
Residentiel,2023-01-01 04:30:00+00:00,1745876.7471999978,3823486
Residentiel,2023-01-01 04:45:00+00:00,1748818.478600002,3823483
Residentiel,2023-01-01 05:00:00+00:00,1767507.1869999988,3823336
Residentiel,2023-01-01 05:15:00+00:00,1776715.9295999997,3823330
Residentiel,2023-01-01 05:30:00+00:00,1790681.4400000006,3823296
Residentiel,2023-01-01 05:45:00+00:00,1807786.7097000005,3823105
Residentiel,2023-01-01 06:00:00+00:00,1850415.1105999977,3825247
Residentiel,2023-01-01 06:15:00+00:00,1862622.6164999995,3825275
Residentiel,2023-01-01 06:30:00+00:00,1879292.6656000016,3825208
Residentiel,2023-01-01 06:45:00+00:00,1894873.027799996,3825193
Residentiel,2023-01-01 07:00:00+00:00,1928485.2209000024,3823699
Residentiel,2023-01-01 07:15:00+00:00,1952145.9795000025,3823672
Residentiel,2023-01-01 07:30:00+00:00,1981161.335199996,3824616
Residentiel,2023-01-01 07:45:00+00:00,2008870.4566000013,3824718
Residentiel,2023-01-01 08:00:00+00:00,2046994.0917,3824385
Residentiel,2023-01-01 08:15:00+00:00,2078941.1833000008,3824531
