secteur,Intervalle15Minutes,energie_sum_secteur,nb_installations
Residentiel,2021-01-01 00:00:00+00:00,2541482.276299997,3685412
Residentiel,2021-01-01 00:15:00+00:00,2536013.776599999,3685568
Residentiel,2021-01-01 00:30:00+00:00,2534569.6503000003,3685657
Residentiel,2021-01-01 00:45:00+00:00,2530214.820100007,3685643
Residentiel,2021-01-01 01:00:00+00:00,2519778.611300004,3685635
Residentiel,2021-01-01 01:15:00+00:00,2498399.9081000024,3666565
Residentiel,2021-01-01 01:30:00+00:00,2504743.495599999,3685669
Residentiel,2021-01-01 01:45:00+00:00,2497880.0280000013,3685723
Residentiel,2021-01-01 02:00:00+00:00,2488504.248500004,3685680
Residentiel,2021-01-01 02:15:00+00:00,2482675.1203999994,3685744
Residentiel,2021-01-01 02:30:00+00:00,2479839.1106000044,3685715
Residentiel,2021-01-01 02:45:00+00:00,2477421.568200004,3685732
Residentiel,2021-01-01 03:00:00+00:00,2479178.326300006,3685674
Residentiel,2021-01-01 03:15:00+00:00,2472630.5951999966,3685684
Residentiel,2021-01-01 03:30:00+00:00,2489835.8883,3685676
Residentiel,2021-01-01 03:45:00+00:00,2491949.4376,3685678
Residentiel,2021-01-01 04:00:00+00:00,2504522.9287,3685413
Residentiel,2021-01-01 04:15:00+00:00,2520163.436499996,3685367
Residentiel,2021-01-01 04:30:00+00:00,2535722.0613000016,3685252
Residentiel,2021-01-01 04:45:00+00:00,2551975.4567000023,3685264
Residentiel,2021-01-01 05:00:00+00:00,2582753.034099998,3685100
Residentiel,2021-01-01 05:15:00+00:00,2621603.6373000005,3685191
Residentiel,2021-01-01 05:30:00+00:00,2643036.9993000054,3685178
Residentiel,2021-01-01 05:45:00+00:00,2665401.2279,3685198
Residentiel,2021-01-01 06:00:00+00:00,2716413.129500003,3685203
Residentiel,2021-01-01 06:15:00+00:00,2726878.0124000027,3685100
Residentiel,2021-01-01 06:30:00+00:00,2752759.4651999995,3685120
Residentiel,2021-01-01 06:45:00+00:00,2760375.6463999944,3685176
Residentiel,2021-01-01 07:00:00+00:00,2779987.9687,3685116
Residentiel,2021-01-01 07:15:00+00:00,2802613.932099998,3685067
Residentiel,2021-01-01 07:30:00+00:00,2828244.7698999946,3684932
Residentiel,2021-01-01 07:45:00+00:00,2850105.536700001,3684860
Residentiel,2021-01-01 08:00:00+00:00,2858426.8406000063,3684537
Residentiel,2021-01-01 08:15:00+00:00,2869355.1759000006,3684418
Residentiel,2021-01-01 08:30:00+00:00,2860592.6443000054,3684405
Residentiel,2021-01-01 08:45:00+00:00,2845971.1224000044,3684291
Residentiel,2021-01-01 09:00:00+00:00,2825618.092799996,3682331
Residentiel,2021-01-01 09:15:00+00:00,2814787.7324000024,3682228
Residentiel,2021-01-01 09:30:00+00:00,2794605.9600999947,3682026
Residentiel,2021-01-01 09:45:00+00:00,2771195.570299998,3681794
Residentiel,2021-01-01 10:00:00+00:00,2756697.050599995,3683234
Residentiel,2021-01-01 10:15:00+00:00,2751072.061399998,3683215
Residentiel,2021-01-01 10:30:00+00:00,2741281.9048,3682913
Residentiel,2021-01-01 10:45:00+00:00,2731085.557900002,3682861
Residentiel,2021-01-01 11:00:00+00:00,2724850.0702999933,3682679
Residentiel,2021-01-01 11:15:00+00:00,2708191.9565000045,3682553
Residentiel,2021-01-01 11:30:00+00:00,2684314.345200006,3682437
Residentiel,2021-01-01 11:45:00+00:00,2684264.231100001,3682583
Residentiel,2021-01-01 12:00:00+00:00,2693928.610200002,3682254
Residentiel,2021-01-01 12:15:00+00:00,2701122.167,3682145
Residentiel,2021-01-01 12:30:00+00:00,2711731.407499999,3682032
Residentiel,2021-01-01 12:45:00+00:00,2709207.7226000032,3681274
Residentiel,2021-01-01 13:00:00+00:00,2702753.492199997,3681665
Residentiel,2021-01-01 13:15:00+00:00,2694960.265900004,3680983
Residentiel,2021-01-01 13:30:00+00:00,2686476.4345000046,3681482
Residentiel,2021-01-01 13:45:00+00:00,2682851.2383999936,3681434
Residentiel,2021-01-01 14:00:00+00:00,2685516.2315000035,3681286
Residentiel,2021-01-01 14:15:00+00:00,2693279.773299996,3681191
Residentiel,2021-01-01 14:30:00+00:00,2704664.316699996,3680982
Residentiel,2021-01-01 14:45:00+00:00,2722247.625400003,3679042
Residentiel,2021-01-01 15:00:00+00:00,2753337.492700008,3678623
Residentiel,2021-01-01 15:15:00+00:00,2780450.057999998,3678496
Residentiel,2021-01-01 15:30:00+00:00,2823830.9230000023,3678295
Residentiel,2021-01-01 15:45:00+00:00,2863673.1074,3678207
Residentiel,2021-01-01 16:00:00+00:00,2932281.2751000025,3677998
Residentiel,2021-01-01 16:15:00+00:00,2990669.4571999973,3679701
Residentiel,2021-01-01 16:30:00+00:00,3043541.442499996,3679525
Residentiel,2021-01-01 16:45:00+00:00,3094069.4361999994,3679422
Residentiel,2021-01-01 17:00:00+00:00,3128564.0772999995,3679201
Residentiel,2021-01-01 17:15:00+00:00,3140221.212400001,3679092
Residentiel,2021-01-01 17:30:00+00:00,3131662.401799993,3678101
Residentiel,2021-01-01 17:45:00+00:00,3114696.148700004,3678022
Residentiel,2021-01-01 18:00:00+00:00,3104619.450699996,3678212
Residentiel,2021-01-01 18:15:00+00:00,3075366.397000002,3678490
Residentiel,2021-01-01 18:30:00+00:00,3049602.0685999943,3678475
Residentiel,2021-01-01 18:45:00+00:00,3020280.478699997,3678542
